ts,n_slots,p50_lamports,p99_lamports,mean_lamports,std_lamports,slot_p99_lamports,max_lamports
2026-08-23T17:00:34+00:00,150,0,0,0,0.0,0,0
2026-08-23T18:00:46+00:00,150,0,0,0,0.0,0,0
2026-08-23T19:00:59+00:00,150,0,0,0,0.0,0,0
2026-08-23T20:00:11+00:00,150,0,0,0,0.0,0,0
2026-08-23T22:00:36+00:00,150,0,0,0,0.0,0,0
2026-08-23T23:00:49+00:00,150,0,0,0,0.0,0,0
2026-08-24T00:00:03+00:00,150,0,0,0,0.0,0,0
2026-08-24T01:00:15+00:00,150,0,0,0,0.0,0,0
2026-08-24T02:00:27+00:00,150,0,0,0,0.0,0,0
2026-08-24T03:00:39+00:00,150,0,0,0,0.0,0,0
2026-08-24T04:00:03+00:00,150,0,0,0,0.0,0,0
2026-08-24T05:00:12+00:00,150,0,0,0,0.0,0,0
2026-08-24T06:15:49+00:00,150,0,0,0,0.0,0,0
2026-08-24T11:40:20+00:00,150,0,0,0,0.0,0,0
2026-08-24T13:00:50+00:00,150,0,0,0,0.0,0,0
2026-08-24T16:01:27+00:00,150,0,0,0,0.0,0,0
2026-08-24T17:02:50+00:00,150,0,0,0,0.0,0,0
2026-08-24T18:07:39+00:00,150,0,0,0,0.0,0,0
2026-08-24T19:12:41+00:00,150,0,0,0,0.0,0,0
2026-08-24T21:16:33+00:00,150,0,0,0,0.0,0,0
2026-08-24T22:18:23+00:00,150,0,0,0,0.0,0,0
2026-08-24T23:17:20+00:00,150,0,0,0,0.0,0,0
2026-08-25T00:07:18+00:00,150,0,0,0,0.0,0,0
2026-08-25T03:00:44+00:00,150,0,0,0,0.0,0,0
2026-08-25T06:15:30+00:00,150,0,0,0,0.0,0,0
2026-08-25T07:00:49+00:00,150,0,0,0,0.0,0,0
2026-08-25T08:00:59+00:00,150,0,0,0,0.0,0,0
2026-08-25T09:00:13+00:00,150,0,0,0,0.0,0,0
2026-08-25T10:00:27+00:00,150,0,0,0,0.0,0,0
2026-08-25T11:00:38+00:00,150,0,0,0,0.0,0,0
2026-08-25T12:00:59+00:00,150,0,0,0,0.0,0,0
2026-08-25T13:00:13+00:00,150,0,0,0,0.0,0,0
2026-08-25T14:00:26+00:00,150,0,0,0,0.0,0,0
2026-08-25T15:00:40+00:00,150,0,0,0,0.0,0,0
2026-08-25T16:04:07+00:00,150,0,0,0,0.0,0,0
2026-08-25T17:08:53+00:00,150,0,0,0,0.0,0,0
2026-08-25T18:13:40+00:00,150,0,0,0,0.0,0,0
2026-08-25T21:10:00+00:00,150,0,0,0,0.0,0,0
2026-08-25T23:07:37+00:00,150,0,0,0,0.0,0,0
2026-08-26T02:07:59+00:00,150,0,0,0,0.0,0,0
2026-08-26T03:00:06+00:00,150,0,0,0,0.0,0,0
2026-08-26T04:00:31+00:00,150,0,0,0.0,0.1,0,1
2026-08-26T05:00:45+00:00,150,0,0,0,0.0,0,0
2026-08-26T06:01:00+00:00,150,0,0,0,0.0,0,0
2026-08-26T07:00:14+00:00,150,0,0,0,0.0,0,0
2026-08-26T08:00:27+00:00,150,0,0,0,0.0,0,0
2026-08-26T09:00:39+00:00,150,0,0,0,0.0,0,0
2026-08-26T10:00:53+00:00,150,0,0,0,0.0,0,0
2026-08-26T11:00:07+00:00,150,0,0,0,0.0,0,0
2026-08-26T12:00:17+00:00,150,0,0,0,0.0,0,0
2026-08-26T13:00:28+00:00,150,0,0,0,0.0,0,0
2026-08-26T14:00:42+00:00,150,0,0,0,0.0,0,0
2026-08-26T15:00:51+00:00,150,0,0,0,0.0,0,0
2026-08-26T16:23:34+00:00,150,0,0,0,0.0,0,0
2026-08-26T17:28:16+00:00,150,0,0,0,0.0,0,0
2026-08-26T18:07:42+00:00,150,0,0,0,0.0,0,0
2026-08-26T19:11:50+00:00,150,0,0,0,0.0,0,0
2026-08-26T20:01:24+00:00,150,0,0,0,0.0,0,0
2026-08-26T21:13:30+00:00,150,0,0,0,0.0,0,0
2026-08-26T23:00:24+00:00,150,0,0,0,0.0,0,0
2026-08-27T00:12:14+00:00,150,0,0,0,0.0,0,0
2026-08-27T01:07:58+00:00,150,0,0,0,0.0,0,0
2026-08-27T02:09:12+00:00,150,0,0,0,0.0,0,0
2026-08-27T03:09:45+00:00,150,0,0,0,0.0,0,0
