ts,pair,us_sym,chain_mid,us_price,dev_bps,us_ts,vol24h
2026-08-08T17:00:52+00:00,SPYX/USDT,SPY,777.8,773.260009765625,58.7,08-07 00:00,293421
2026-08-08T17:00:52+00:00,AAPLX/USDT,AAPL,312.37,313.3299865722656,-30.8,08-07 00:00,31834
2026-08-08T17:30:55+00:00,MSTRX/USDT,MSTR,102.0,100.01000213623047,198.5,08-07 00:00,134842
2026-08-08T17:30:55+00:00,MCDX/USDT,MCD,277.31,274.4800109863281,103.3,08-07 00:00,23126
2026-08-08T17:30:55+00:00,TSLAX/USDT,TSLA,330.88,328.5799865722656,70.0,08-07 00:00,95028
2026-08-08T17:30:55+00:00,GOOGLX/USDT,GOOGL,356.46,354.29998779296875,61.0,08-07 00:00,90944
2026-08-08T17:30:55+00:00,SPYX/USDT,SPY,777.84,773.260009765625,59.2,08-07 00:00,288941
2026-08-08T17:30:55+00:00,COINX/USDT,COIN,154.49,153.60000610351562,57.9,08-07 00:00,62427
2026-08-08T17:30:55+00:00,AAPLX/USDT,AAPL,312.32,313.3299865722656,-32.1,08-07 00:00,35617
2026-08-08T18:00:59+00:00,MSTRX/USDT,MSTR,102.07,100.01000213623047,206.0,08-07 00:00,116619
2026-08-08T18:00:59+00:00,MCDX/USDT,MCD,277.31,274.4800109863281,103.3,08-07 00:00,23262
2026-08-08T18:00:59+00:00,TSLAX/USDT,TSLA,331.12,328.5799865722656,77.2,08-07 00:00,92763
2026-08-08T18:00:59+00:00,GOOGLX/USDT,GOOGL,357.02,354.29998779296875,76.8,08-07 00:00,84521
2026-08-08T18:00:59+00:00,SPYX/USDT,SPY,778.23,773.260009765625,64.3,08-07 00:00,287086
2026-08-08T18:00:59+00:00,COINX/USDT,COIN,154.56,153.60000610351562,62.5,08-07 00:00,59270
2026-08-08T18:00:59+00:00,QQQX/USDT,QQQ,725.64,723.030029296875,36.2,08-07 00:00,42716
2026-08-08T18:00:59+00:00,AVGOX/USDT,AVGO,429.25,427.760009765625,34.7,08-07 00:00,21302
2026-08-08T18:31:04+00:00,MSTRX/USDT,MSTR,101.84,100.01000213623047,183.5,08-07 00:00,105615
2026-08-08T18:31:04+00:00,MCDX/USDT,MCD,277.31,274.4800109863281,103.3,08-07 00:00,21613
2026-08-08T18:31:04+00:00,TSLAX/USDT,TSLA,331.48,328.5799865722656,88.1,08-07 00:00,83024
2026-08-08T18:31:04+00:00,GOOGLX/USDT,GOOGL,356.75,354.29998779296875,69.3,08-07 00:00,80221
2026-08-08T18:31:04+00:00,SPYX/USDT,SPY,778.21,773.260009765625,64.0,08-07 00:00,269812
2026-08-08T18:31:04+00:00,COINX/USDT,COIN,154.29,153.60000610351562,44.6,08-07 00:00,52774
2026-08-08T18:31:04+00:00,QQQX/USDT,QQQ,725.22,723.030029296875,30.3,08-07 00:00,41621
2026-08-08T19:01:09+00:00,MSTRX/USDT,MSTR,101.8,100.01000213623047,178.5,08-07 00:00,97381
2026-08-08T19:01:09+00:00,MCDX/USDT,MCD,277.31,274.4800109863281,103.3,08-07 00:00,18596
2026-08-08T19:01:09+00:00,TSLAX/USDT,TSLA,331.34,328.5799865722656,83.8,08-07 00:00,77095
2026-08-08T19:01:09+00:00,GOOGLX/USDT,GOOGL,356.52,354.29998779296875,62.8,08-07 00:00,76178
2026-08-08T19:01:09+00:00,SPYX/USDT,SPY,777.67,773.260009765625,57.1,08-07 00:00,248242
2026-08-08T19:01:09+00:00,COINX/USDT,COIN,154.16,153.60000610351562,36.5,08-07 00:00,44735
2026-08-08T19:01:09+00:00,QQQX/USDT,QQQ,725.24,723.030029296875,30.6,08-07 00:00,38884
2026-08-08T19:01:09+00:00,AAPLX/USDT,AAPL,312.38,313.3299865722656,-30.2,08-07 00:00,48907
2026-08-08T19:31:15+00:00,MSTRX/USDT,MSTR,101.86,100.01000213623047,185.0,08-07 00:00,90611
2026-08-08T19:31:15+00:00,MCDX/USDT,MCD,277.31,274.4800109863281,103.3,08-07 00:00,16690
2026-08-08T19:31:15+00:00,TSLAX/USDT,TSLA,330.77,328.5799865722656,66.7,08-07 00:00,75006
2026-08-08T19:31:15+00:00,GOOGLX/USDT,GOOGL,356.46,354.29998779296875,60.8,08-07 00:00,69511
2026-08-08T19:31:15+00:00,SPYX/USDT,SPY,777.73,773.260009765625,57.9,08-07 00:00,241021
2026-08-08T19:31:15+00:00,COINX/USDT,COIN,154.36,153.60000610351562,49.5,08-07 00:00,40677
2026-08-08T19:31:15+00:00,AAPLX/USDT,AAPL,312.24,313.3299865722656,-34.8,08-07 00:00,48800
2026-08-08T19:31:15+00:00,QQQX/USDT,QQQ,725.28,723.030029296875,31.0,08-07 00:00,36511
2026-08-08T20:00:23+00:00,MSTRX/USDT,MSTR,101.97,100.01000213623047,196.0,08-07 00:00,82411
2026-08-08T20:00:23+00:00,MCDX/USDT,MCD,277.3,274.4800109863281,102.7,08-07 00:00,14883
2026-08-08T20:00:23+00:00,GOOGLX/USDT,GOOGL,356.91,354.29998779296875,73.8,08-07 00:00,68854
2026-08-08T20:00:23+00:00,TSLAX/USDT,TSLA,331.0,328.5799865722656,73.5,08-07 00:00,60137
2026-08-08T20:00:23+00:00,SPYX/USDT,SPY,778.03,773.260009765625,61.7,08-07 00:00,223417
2026-08-08T20:00:23+00:00,COINX/USDT,COIN,154.49,153.60000610351562,57.6,08-07 00:00,38045
2026-08-08T20:00:23+00:00,AVGOX/USDT,AVGO,429.7,427.760009765625,45.4,08-07 00:00,14852
2026-08-08T20:00:23+00:00,QQQX/USDT,QQQ,725.61,723.030029296875,35.7,08-07 00:00,35571
2026-08-08T20:00:23+00:00,AAPLX/USDT,AAPL,312.34,313.3299865722656,-31.8,08-07 00:00,48627
2026-08-08T20:30:24+00:00,MSTRX/USDT,MSTR,101.96,100.01000213623047,195.0,08-07 00:00,73491
2026-08-08T20:30:24+00:00,MCDX/USDT,MCD,278.43,274.4800109863281,143.9,08-07 00:00,13698
2026-08-08T20:30:24+00:00,TSLAX/USDT,TSLA,331.32,328.5799865722656,83.4,08-07 00:00,53873
2026-08-08T20:30:24+00:00,GOOGLX/USDT,GOOGL,356.82,354.29998779296875,71.3,08-07 00:00,67864
2026-08-08T20:30:24+00:00,COINX/USDT,COIN,154.55,153.60000610351562,61.5,08-07 00:00,34875
2026-08-08T20:30:24+00:00,SPYX/USDT,SPY,777.94,773.260009765625,60.5,08-07 00:00,218804
2026-08-08T20:30:24+00:00,QQQX/USDT,QQQ,726.15,723.030029296875,43.2,08-07 00:00,33913
2026-08-08T20:30:24+00:00,AAPLX/USDT,AAPL,312.3,313.3299865722656,-32.9,08-07 00:00,48595
2026-08-08T20:30:24+00:00,NVDAX/USDT,NVDA,224.67,223.9600067138672,31.7,08-07 00:00,44344
2026-08-08T21:30:33+00:00,MSTRX/USDT,MSTR,101.92,100.01000213623047,191.0,08-07 00:00,68043
2026-08-08T21:30:33+00:00,MCDX/USDT,MCD,278.51,274.4800109863281,146.8,08-07 00:00,11462
2026-08-08T21:30:33+00:00,TSLAX/USDT,TSLA,331.65,328.5799865722656,93.6,08-07 00:00,47368
2026-08-08T21:30:33+00:00,COINX/USDT,COIN,154.59,153.60000610351562,64.5,08-07 00:00,31213
2026-08-08T21:30:33+00:00,SPYX/USDT,SPY,778.07,773.260009765625,62.1,08-07 00:00,208747
